# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 14 04:22:42 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
loc_rowid,pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum
3590,K2-3 c,24.64671000,,1.180,,,,,,,0.37,,
3591,K2-3 c,24.64540000,0.139900,1.720,,,,,M0.0 V,3896.00,0.56,0.60,
3592,K2-3 c,24.64638000,,1.690,,,,,M0 V,,0.56,,
3593,K2-3 c,24.64540000,,1.720,4.20000,4.50000,0.000000,,,3896.00,0.56,0.60,
3594,K2-3 c,24.64910000,0.140500,1.644,2.10000,1.82000,0.040000,,,,0.55,0.61,
3595,K2-3 d,44.55612000,,,,,,,,3920.00,0.55,0.55,-1.190
3596,K2-3 d,44.55764000,0.209700,1.650,1.80000,2.40000,,,,3835.00,0.60,0.62,-1.150
3597,K2-3 d,44.55646000,,,2.80007,5.62000,0.000000,,M0.0&plusmn;0.5,3896.00,0.56,0.60,
3598,K2-3 d,44.56115000,,1.700,,,,,,3927.00,0.58,,
3599,K2-3 d,44.55983000,0.207600,1.510,,,,282,M0 V,3896.00,0.56,0.60,
3600,K2-3 d,44.55740000,,1.110,,,,,,,0.37,,
3601,K2-3 d,44.56310000,,1.520,7.50000,11.70000,0.000000,,,3896.00,0.56,0.60,
3602,K2-3 d,44.57050000,0.208600,1.530,11.10000,17.50000,0.045000,,,,0.55,0.61,
3603,K2-3 d,44.56310000,0.207600,1.520,,,,,M0.0 V,3896.00,0.56,0.60,
3604,K2-3 d,44.56090000,0.183300,0.960,,,,,,3841.00,0.37,0.41,
3605,K2-3 d,44.55765000,,1.610,,,,300,M0 V,,0.56,,
3606,K2-30 b,4.09850700,0.049860,13.406,198.00809,0.48300,0.027000,1185,G8 V,5581.00,0.94,0.98,-0.112
3607,K2-30 b,4.09849000,0.041900,11.982,187.20187,0.59800,0.080000,1203,G,5575.00,0.84,0.92,-0.270
3608,K2-30 b,4.09849200,,12.652,,,,,,5574.00,0.91,0.97,
3609,K2-30 b,4.09803132,,,,,,,,5198.00,1.06,0.88,-0.128
3610,K2-30 b,4.09850600,0.048900,12.300,,,,,,5567.00,0.92,0.93,
3611,K2-30 b,4.09850300,0.048390,11.646,184.02357,0.64000,0.000000,1092,G6 V,5425.00,0.84,0.90,-0.256
3612,K2-30 b,4.09848970,,13.140,,,,,,,0.92,,
3613,K2-308 b,3.38628000,,9.916,,,,,,6100.00,1.24,1.09,
3614,K2-31 b,1.25783320,,,,,,,,5340.00,1.03,0.92,-0.110
3615,K2-31 b,1.25784930,,7.000,,,,,,5251.00,0.81,,
3616,K2-31 b,1.25785420,0.022580,34.000,,,,,,5465.00,0.90,0.97,
3617,K2-31 b,1.25785000,,,590.10000,,0.000000,,,5412.00,0.99,1.00,
3618,K2-31 b,1.25785000,0.022000,11.882,563.83042,,0.000000,,G7 V,5280.00,0.78,0.91,
3619,K2-315 b,3.14431890,,0.950,,,,460,M(3.5+/-0.5) V,3300.00,0.20,0.17,-2.387
3620,K2-316 b,1.13300000,0.014700,1.330,,,,841,,3436.00,0.38,0.41,
3621,K2-316 c,5.26000000,0.058200,1.830,,,,423,,3436.00,0.38,0.41,
3622,K2-317 b,6.22000000,0.054200,2.930,,,,432,,3387.00,0.38,0.40,
3623,K2-318 b,7.01000000,0.091100,1.660,,,,456,,3851.00,0.55,0.56,
3624,K2-319 b,26.68000000,0.151600,2.790,,,,641,,5440.00,0.90,0.95,
3625,K2-32 b,8.99191560,,4.790,,,,,,4686.00,0.72,,
3626,K2-32 b,8.99182800,0.080350,4.960,,,,,,,0.84,0.86,
3627,K2-32 b,8.99200000,0.079500,5.299,15.00000,0.55000,0.030000,837,,5271.00,0.86,0.83,
3628,K2-32 b,8.99213000,0.080360,5.130,16.50000,0.67000,0.000000,817,,5275.00,0.84,0.86,
3629,K2-32 b,8.99002105,,,,,,,,5274.00,0.85,0.90,-0.296
3630,K2-32 b,8.99213000,0.081100,5.620,,,,,,5428.00,0.92,0.88,
3631,K2-32 b,8.99218000,0.080800,5.380,,,,769,G9 V,5315.00,0.87,0.87,
3632,K2-32 b,8.99218000,,5.380,21.10000,0.74000,0.000000,,,5315.00,0.87,0.87,
3633,K2-32 b,8.99201800,,4.920,,,,,,,0.76,,
3634,K2-32 b,8.99194200,,5.171,,,,,,5415.00,0.84,0.92,
3635,K2-32 c,20.66162300,,3.115,,,,,,5415.00,0.84,0.92,
3636,K2-32 c,20.66093000,0.138430,3.134,8.10000,1.43000,0.049000,634,,5271.00,0.86,0.83,
3637,K2-32 c,20.66020000,0.141200,3.320,,,,,,5428.00,0.92,0.88,
3638,K2-32 c,20.65614000,,3.480,8.10000,1.10000,0.000000,,,5315.00,0.87,0.87,
3639,K2-32 c,20.65614000,0.140700,3.480,,,,583,G9 V,5315.00,0.87,0.87,
3640,K2-32 c,20.66020000,0.139900,3.010,12.10000,2.70000,0.000000,619,,5275.00,0.84,0.86,
3641,K2-32 c,20.66098700,,2.880,,,,,,4686.00,0.72,,
3642,K2-32 c,20.66178000,,2.730,,,,,,,0.76,,
3643,K2-32 c,20.66186000,0.139900,2.740,,,,,,,0.84,0.86,
3644,K2-32 d,31.71540000,0.187900,3.770,,,,,,5428.00,0.92,0.88,
3645,K2-32 d,31.71420000,0.186200,3.270,,,,,,,0.84,0.86,
3646,K2-32 d,31.71506100,,3.414,,,,,,5415.00,0.84,0.92,
3647,K2-32 d,31.71701000,0.184220,3.484,6.70000,0.87000,0.050000,550,,5271.00,0.86,0.83,
3648,K2-32 d,31.71922000,,3.750,35.00000,3.60000,0.000000,,,5315.00,0.87,0.87,
3649,K2-32 d,31.72360000,,3.140,,,,,,,0.76,,
3650,K2-32 d,31.71540000,0.186200,3.430,10.30000,1.38000,0.000000,537,,5275.00,0.84,0.86,
3651,K2-32 d,31.71586800,,3.130,,,,,,4686.00,0.72,,
3652,K2-32 d,31.71922000,0.187300,3.750,,,,505,G9 V,5315.00,0.87,0.87,
3653,K2-32 e,4.34910000,,2.200,,,,,,,0.76,,
3654,K2-32 e,4.34934000,0.048990,1.212,2.10000,6.30000,0.043000,1066,,5271.00,0.86,0.83,
3655,K2-32 e,4.34882000,0.049510,1.010,,,,,,,0.84,0.86,
3656,K2-320 b,1.99500000,0.014200,2.620,,,,698,,3157.00,0.30,0.12,
3657,K2-321 b,2.29800000,0.041000,1.950,,,,701,,3855.00,0.58,0.60,
3658,K2-322 b,8.20500000,0.059400,1.920,,,,635,,4141.00,0.60,0.63,
3659,K2-323 b,24.93000000,0.127500,2.100,,,,318,,3710.00,0.55,0.48,
3660,K2-324 b,3.26200000,0.033100,2.430,,,,707,,3752.00,0.51,0.52,
3661,K2-325 b,6.93000000,0.041900,2.200,,,,423,,3287.00,0.30,0.27,
3662,K2-326 b,1.25600000,0.019800,2.280,,,,1114,,3924.00,0.69,0.51,
3663,K2-329 b,12.45512250,0.101600,8.676,82.63580,0.69400,0.069700,650,,5282.00,0.82,0.90,-0.325
3664,K2-33 b,5.42486500,,5.040,1175.97100,,0.000000,,M3.3,3540.00,1.05,0.56,-0.824
3665,K2-33 b,5.42526000,,3.170,,,,,,,0.53,,
3666,K2-33 b,5.42520610,,0.868,,,,,,2890.00,0.16,,
3667,K2-33 b,5.42240000,,,,,,,,3318.00,0.91,0.35,-1.044
3668,K2-33 b,5.42513000,0.040900,5.760,1144.18800,,0.000000,850,M3,3410.00,1.10,0.31,-0.830
3669,K2-330 b,13.77262600,,2.200,,,,,,,1.25,,
3670,K2-330 b,13.77479800,,2.770,,,,969,,6232.00,1.50,1.23,
3671,K2-330 b,13.77382600,,3.295,,,,,,6114.00,1.68,,
3672,K2-330 b,13.77300000,,2.170,,,,,,,1.47,,
3673,K2-330 b,13.77300000,,,,,,,,6266.98,1.47,1.22,0.477
3674,K2-331 b,9.39897700,,1.790,,,,909,,5994.00,1.06,1.10,
3675,K2-331 c,22.99592000,,2.500,,,,,,6010.00,1.04,,
3676,K2-331 c,22.99659100,,2.720,,,,673,,5994.00,1.06,1.10,
3677,K2-332 b,17.70300000,,,,,,,,3266.00,0.29,0.26,-2.065
3678,K2-332 b,17.70370000,,1.760,,,,,,,0.20,,
3679,K2-332 b,17.70632000,,2.200,,,,266,,3315.00,0.28,0.27,
3680,K2-333 b,14.75928700,,6.180,,,,826,,5880.00,1.22,1.06,
3681,K2-333 b,14.75959500,,5.300,,,,,,6070.00,1.19,,
3682,K2-334 b,5.11382300,,5.000,,,,,,6890.00,1.41,,
3683,K2-334 b,5.11398100,,5.650,,,,1380,,6502.00,1.49,1.36,
3684,K2-335 b,12.28234300,,2.526,,,,,,5985.00,1.41,,
3685,K2-335 b,12.28120000,,2.470,,,,,,,1.32,,
3686,K2-335 b,12.28100000,,,,,,,,6272.00,1.33,1.22,0.395
3687,K2-335 b,12.28321100,,2.210,,,,949,,6222.00,1.33,1.23,
3688,K2-336 b,21.19178800,,1.317,,,,,,5277.00,0.78,,
3689,K2-336 b,21.19900000,,,,,,,,5296.77,0.80,0.91,-0.345
3690,K2-336 b,21.19760000,,1.330,,,,,,,0.77,,
3691,K2-336 b,21.19473300,,1.220,,,,569,,5424.00,0.80,0.86,
3692,K2-337 b,16.27130000,,2.770,,,,,,,1.27,,
3693,K2-337 b,16.27100000,,,,,,,,5940.00,1.26,1.08,0.250
3694,K2-337 b,16.27284000,,2.109,,,,,,5656.00,1.06,,
3695,K2-337 b,16.27356300,,2.620,,,,850,,5869.00,1.32,0.94,
3696,K2-338 b,3.85000000,,,,,,,,4504.00,0.63,0.71,-0.836
3697,K2-338 b,3.85061400,,1.030,,,,783,,4558.00,0.63,0.66,
3698,K2-338 b,3.85064000,,1.073,,,,,,,0.51,,
3699,K2-339 b,19.50742800,,1.920,,,,508,,4857.00,0.72,0.74,
3700,K2-339 b,19.50800000,,2.110,,,,,,,0.58,,
3701,K2-34 b,2.99560700,0.044190,15.132,559.38080,0.94000,0.000000,1742,F9 V,6132.00,1.53,1.28,0.471
3702,K2-34 b,2.99563300,,13.100,,,,,,,1.38,,
3703,K2-34 b,2.99564600,,13.966,,,,,,5990.00,1.45,1.12,
3704,K2-34 b,2.99529334,,,,,,,,6135.47,1.40,1.16,0.400
3705,K2-34 b,2.99565400,0.044500,16.141,563.51259,0.80000,0.022000,,,6087.00,1.66,1.31,
3706,K2-34 b,2.99563300,0.042600,13.960,,,,1559,,6071.00,1.44,1.15,
3707,K2-34 b,2.99600000,,,,,,,,6135.47,1.40,1.16,0.400
3708,K2-34 b,2.99562900,0.046500,15.435,539.67534,0.80000,0.054000,1715,F,6149.00,1.58,1.23,0.484
3709,K2-34 b,2.99565300,,13.800,,,,,,6380.00,1.40,,
3710,K2-34 b,2.99563720,,13.700,,,,,,,1.40,,
3711,K2-34 b,2.99563480,0.044200,13.750,,,,1687,,6168.00,1.42,1.16,
3712,K2-34 b,2.99561000,,11.994,352.79130,,0.000000,,,6132.00,1.22,0.64,
3713,K2-340 b,29.73610000,,3.520,,,,,,,1.14,,
3714,K2-340 b,29.74045100,,3.360,,,,606,,5532.00,1.13,0.93,
3715,K2-340 b,29.72900000,,,,,,,,5464.00,1.11,0.96,-0.002
3716,K2-341 b,36.55625100,,2.968,,,,,,5759.00,1.04,,
3717,K2-341 b,36.55255100,,3.210,,,,598,,5817.00,1.16,0.98,
3718,K2-341 b,36.55630000,,3.180,,,,,,,1.10,,
3719,K2-342 b,11.56105200,,2.030,,,,861,,5920.00,1.09,1.01,
3720,K2-342 b,11.56151400,,2.400,,,,,,6140.00,1.41,,
3721,K2-343 b,2.78711000,,2.000,,,,,,,0.51,,
3722,K2-343 b,2.78717400,,1.650,,,,653,,3804.00,0.46,0.49,
3723,K2-343 c,7.67697200,,2.020,,,,465,,3804.00,0.46,0.49,
3724,K2-343 c,7.67689000,,2.440,,,,,,,0.51,,
3725,K2-343 c,7.67698400,,2.300,,,,,,3790.00,0.47,,
3726,K2-344 b,3.35585000,,1.590,,,,722,,4374.00,0.49,0.51,
3727,K2-344 b,3.35585400,,1.600,,,,,,3860.00,0.55,,
3728,K2-345 b,10.36600000,,,,,,,,3675.00,0.54,0.54,-1.320
3729,K2-345 b,10.36743700,,2.110,,,,437,,3779.00,0.52,0.56,
3730,K2-345 b,10.36627000,,1.820,,,,,,,0.40,,
3731,K2-346 b,26.20144600,,2.260,,,,450,,4801.00,0.70,0.71,
3732,K2-346 b,26.19800000,,,,,,,,4678.00,0.71,0.75,-0.663
3733,K2-346 b,26.19560000,,2.080,,,,,,,0.66,,
3734,K2-346 b,26.19702200,,2.362,,,,,,4789.00,0.69,,
3735,K2-347 b,7.18725700,,2.410,,,,640,,4599.00,0.63,0.66,
3736,K2-347 b,7.18662000,,2.580,,,,,,,0.58,,
3737,K2-347 b,7.18700000,,,,,,,,4391.00,0.62,0.69,-0.894
3738,K2-348 b,4.68862500,,3.800,,,,,,5220.00,0.83,,
3739,K2-348 b,4.68841800,,3.260,,,,908,,5077.00,0.85,0.83,
3740,K2-348 c,12.55089600,,2.600,,,,,,5220.00,0.83,,
3741,K2-348 c,12.55017100,,2.670,,,,655,,5077.00,0.85,0.83,
3742,K2-349 b,9.03217800,,1.380,,,,518,,4385.00,0.49,0.54,
3743,K2-349 b,9.03330000,,2.750,,,,,,,0.82,,
3744,K2-349 b,9.02900000,,,,,,,,5274.00,0.79,0.90,-0.366
3745,K2-35 b,2.39901000,,1.270,,,,,,,0.60,,
3746,K2-35 b,2.39984000,0.032000,1.400,,,,979,K4 V,4680.00,0.72,0.76,
3747,K2-35 b,2.39964630,,1.520,,,,,,4326.00,0.67,,
3748,K2-35 b,2.39991000,0.030600,1.080,,,,,,4426.00,0.60,0.66,
3749,K2-35 b,2.39996400,0.031000,1.320,,,0.130000,,,4402.71,0.62,0.70,
3750,K2-35 c,5.60871000,,1.900,,,,,,,0.60,,
3751,K2-35 c,5.60835200,0.055000,1.930,,,0.120000,,,4402.71,0.62,0.70,
3752,K2-35 c,5.60967748,,,,,,,,4323.44,0.78,0.68,-0.719
3753,K2-35 c,5.60894650,,2.170,,,,,,4326.00,0.67,,
3754,K2-35 c,5.60906000,0.053900,1.690,,,,,,4426.00,0.60,0.66,
3755,K2-35 c,5.60840000,,2.200,,,,766,,4523.00,0.69,,
3756,K2-35 c,5.60912000,0.056400,2.090,,,,737,K4 V,4680.00,0.72,0.76,
3757,K2-350 b,4.16387300,,1.540,,,,1158,,5789.00,1.04,0.98,
3758,K2-350 c,19.99194400,,2.740,,,,687,,5789.00,1.04,0.98,
3759,K2-350 c,19.99010000,,2.810,,,,,,,1.01,,
3760,K2-350 c,19.99100000,,,,,,,,5799.00,0.98,1.04,-0.012
3761,K2-351 b,7.80600000,,,,,,,,5739.00,1.04,1.03,0.024
3762,K2-351 b,7.80651068,,,,,,,,5739.00,1.04,1.03,0.024
3763,K2-351 b,7.80616400,,2.540,,,,934,,5769.00,1.05,1.02,
3764,K2-351 b,7.80692000,,3.030,,,,,,,1.10,,
3765,K2-352 b,3.66591200,,1.370,,,,1160,,5791.00,0.95,0.98,
3766,K2-352 c,8.23488500,,1.920,,,,885,,5791.00,0.95,0.98,
3767,K2-352 c,8.23648600,,2.000,,,,,,5930.00,0.92,,
3768,K2-352 d,14.86994300,,4.400,,,,,,5930.00,0.92,,
3769,K2-352 d,14.87138700,,2.230,,,,727,,5791.00,0.95,0.98,
3770,K2-353 b,15.46680500,,5.550,,,,735,,5698.00,0.99,0.87,
3771,K2-354 b,3.79330600,,1.560,,,,543,,3669.00,0.41,0.43,
3772,K2-354 b,3.79400000,,,,,,,,3510.00,0.42,0.42,-1.614
3773,K2-355 b,5.73856470,0.063200,2.250,,,,1066,,5790.00,0.92,0.96,
3774,K2-356 b,21.02673660,0.159900,2.290,,,,624,,5568.00,0.86,0.90,
3775,K2-357 b,16.34886370,0.145000,3.720,,,,735,,5794.00,1.00,0.98,
3776,K2-358 b,11.25102850,0.086300,2.680,,,,888,,5650.00,0.91,0.93,
3777,K2-36 b,1.42261400,0.022300,1.430,3.90000,7.20000,0.000000,1224,,4916.00,0.72,0.79,-0.570
3778,K2-36 b,1.42260200,,1.407,,,,,,,0.73,,
3779,K2-36 b,1.42266000,0.023000,1.320,,,,1232,K2 V,4924.00,0.74,0.80,
3780,K2-36 b,1.42261900,,1.467,,,,,,4944.00,0.75,0.80,
3781,K2-36 b,1.42261080,,1.550,,,,,,4886.00,0.74,,
3782,K2-36 b,1.42264700,0.023080,1.450,,,,,,4953.00,0.75,0.81,
3783,K2-36 c,5.34107237,,,,,,,,4772.39,0.75,0.77,-0.575
3784,K2-36 c,5.34089340,,2.820,,,,,,4886.00,0.74,,
3785,K2-36 c,5.34059000,0.055500,2.800,,,,793,K2 V,4924.00,0.74,0.80,
3786,K2-36 c,5.34072000,0.055740,2.650,,,,,,4953.00,0.75,0.81,
3787,K2-36 c,5.34088800,0.054000,3.200,7.80000,1.30000,0.000000,788,,4916.00,0.72,0.79,-0.570
3788,K2-36 c,5.34088300,,3.580,,,,,,4944.00,0.75,0.80,
3789,K2-37 b,4.44118000,0.051050,1.660,,,,,,5512.00,0.87,0.90,
3790,K2-37 b,4.44117000,0.051100,1.610,,,,974,G3 V,5413.00,0.85,0.90,
3791,K2-37 b,4.44377400,,1.526,,,,,,5382.00,0.82,0.89,
3792,K2-37 b,4.44360000,,1.570,,,,,,,0.79,,
3793,K2-37 b,4.44366490,,1.500,,,,,,4740.00,0.72,,
3794,K2-37 c,6.42950230,,2.500,,,,,,4740.00,0.72,,
3795,K2-37 c,6.42973000,0.065340,2.650,,,,,,5512.00,0.87,0.90,
3796,K2-37 c,6.42904000,0.065400,2.750,,,,861,G3 V,5413.00,0.85,0.90,
3797,K2-37 c,6.42958200,,2.598,,,,,,5382.00,0.82,0.89,
3798,K2-37 c,6.42959000,,2.640,,,,,,,0.79,,
3799,K2-37 c,6.43032491,,,,,,,,4927.00,0.86,0.81,-0.408
3800,K2-37 d,14.09189000,0.110300,2.730,,,,663,G3 V,5413.00,0.85,0.90,
3801,K2-37 d,14.09292000,,2.580,,,,,,,0.79,,
3802,K2-37 d,14.09090700,,2.330,,,,,,4740.00,0.72,,
3803,K2-37 d,14.09099600,,2.412,,,,,,5382.00,0.82,0.89,
3804,K2-37 d,14.09190000,0.110200,2.590,,,,,,5512.00,0.87,0.90,
3805,K2-38 b,4.01663000,,1.960,,,,,,,1.24,,
3806,K2-38 b,4.01593000,0.050600,1.550,12.00000,17.50000,,1184,G2 V,5757.00,1.10,1.07,
3807,K2-38 b,4.01593000,,1.906,19.06980,,,,,5757.00,1.38,2.24,
3808,K2-38 b,4.01628000,0.050730,1.640,,,,,,5758.00,1.12,1.08,
3809,K2-38 c,10.56131000,,2.830,,,,,,,1.24,,
3810,K2-38 c,10.56103000,0.096400,2.420,9.90000,3.60000,,858,G2 V,5757.00,1.10,1.07,
3811,K2-38 c,10.56098000,0.096700,2.410,,,,,,5758.00,1.12,1.08,
3812,K2-39 b,4.60498290,,1.670,,,,,,4843.00,0.74,,
3813,K2-39 b,4.60543000,0.062000,8.200,50.30000,0.50000,0.000000,,,4881.00,3.88,1.53,
3814,K2-39 b,4.60280000,,,,,,,,4911.00,3.12,,
3815,K2-39 b,4.60497000,0.057080,7.090,,,,,,4993.00,2.59,1.17,
3816,K2-39 b,4.60543000,,6.277,28.60470,,0.000000,,,4881.00,2.97,0.66,
3817,K2-39 b,4.60497000,0.057400,5.710,39.80000,1.17000,0.152000,1670,,4912.00,2.93,1.19,
3818,K2-4 b,10.00440000,0.071500,1.690,,,,,,4044.00,0.43,0.49,
3819,K2-4 b,10.00361000,,2.570,,,,,,4077.00,0.62,,
3820,K2-4 b,10.00510000,,2.290,,,,,,,0.57,,
3821,K2-4 b,10.00617969,,,,,,,,4120.00,0.68,0.64,-0.915
3822,K2-4 b,10.00329000,0.077700,2.370,,,,563,,4197.00,0.60,0.63,
3823,K2-4 b,10.00341700,0.078000,2.100,,,0.080000,,,4014.73,0.57,0.64,
3824,K2-42 b,6.68743520,,2.790,,,,,,4476.00,0.69,,
3825,K2-42 b,6.68796000,0.061700,2.150,,,,,,4613.00,0.64,0.70,
3826,K2-42 b,6.68851000,,2.250,,,,,,,0.66,,
3827,K2-43 b,3.47128500,,4.370,,,,,,3720.00,0.50,,
3828,K2-43 b,3.47114900,,4.510,,,,939,,3840.60,0.54,0.57,
3829,K2-43 b,3.47134100,0.038000,4.750,,,0.070000,,,3889.72,0.59,0.60,
3830,K2-43 b,3.47113600,,5.160,,,,,,,0.61,,
3831,K2-43 b,3.47114000,0.037840,4.130,,,,,,3939.00,0.57,0.60,
3832,K2-43 c,2.19945000,,2.600,,,,,,,0.61,,
3833,K2-43 c,2.19888400,,2.420,,,,1094,,3840.60,0.54,0.57,
3834,K2-44 b,5.65706000,,2.160,,,,1211,,5989.00,1.09,,
3835,K2-44 b,5.65700000,0.060000,2.433,,,,,,5912.00,1.58,1.15,
3836,K2-44 b,5.65630400,,2.939,,,,,,5722.00,1.56,1.05,
3837,K2-44 b,5.65688000,0.065100,2.720,,,,,,5912.00,1.58,1.15,
3838,K2-44 b,5.65625600,,2.080,,,,,,5840.00,1.03,,
3839,K2-44 b,5.65621000,,3.130,,,,,,,1.62,,
3840,K2-45 b,1.72925910,,11.000,,,,,,4271.00,0.66,,
3841,K2-45 b,1.72926840,0.022400,6.710,,,,,,4103.00,0.45,0.50,
3842,K2-45 b,1.72925700,0.025000,10.440,,,0.100000,,,4262.10,0.69,0.68,
3843,K2-45 b,1.72925770,,11.400,,,,,,,0.73,,
3844,K2-46 b,19.15300000,,2.400,,,,,,,1.25,,
3845,K2-46 b,19.15454000,,2.471,,,,,,6114.00,1.33,1.02,
3846,K2-46 b,19.15376500,,2.650,,,,,,6234.00,1.32,,
3847,K2-46 b,19.15410000,0.138210,2.050,,,,,,6256.00,1.29,0.96,
3848,K2-46 b,19.15344000,,2.040,,,,889,,6445.00,1.12,,
3849,K2-47 b,31.65510000,,2.480,,,,,,,0.77,,
3850,K2-47 b,31.63720000,0.177900,1.890,,,,,,5054.00,0.76,0.75,
3851,K2-47 b,31.64630600,,2.530,,,,,,4810.00,0.73,,
3852,K2-48 b,20.51070000,,2.230,,,,,,,0.66,,
3853,K2-48 b,20.50769300,,2.780,,,,,,4728.00,0.72,,
3854,K2-48 b,20.50650000,0.134400,2.240,,,,,,4899.00,0.73,0.77,
3855,K2-49 b,2.77065000,0.030900,1.930,,,,,,4175.00,0.45,0.51,
3856,K2-49 b,2.77062970,,3.360,,,,,,4329.00,0.67,,
3857,K2-49 b,2.77052200,,3.190,,,,,,,0.70,,
3858,K2-5 b,5.73597000,0.050400,1.500,,,,,,4021.00,0.46,0.52,
3859,K2-5 b,5.73484620,,2.400,,,,,,4088.00,0.62,,
3860,K2-5 b,5.73491000,0.050900,1.920,,,,634,,4102.00,0.52,0.53,
3861,K2-5 b,5.73594000,0.053200,1.910,,,,565,K7.5 V,3930.00,0.57,0.61,
3862,K2-5 b,5.73649000,,4.200,,,,,,,0.53,,
3863,K2-5 c,10.93406000,0.078300,1.920,,,,511,,4102.00,0.52,0.53,
3864,K2-5 c,10.93459000,,2.020,,,,,,,0.53,,
3865,K2-5 c,10.93241000,0.081800,2.260,,,,456,K7.5 V,3930.00,0.57,0.61,
3866,K2-5 c,10.93240000,0.077500,1.640,,,,,,4021.00,0.46,0.52,
3867,K2-50 b,8.75198000,,2.290,,,,,,,0.63,,
3868,K2-50 b,8.75290000,0.070500,1.590,,,,,,4326.00,0.55,0.61,
3869,K2-50 b,8.75298740,,2.460,,,,,,4252.00,0.65,,
3870,K2-52 b,3.53505500,0.054000,18.000,,,,2004,,7147.00,2.19,1.69,
3871,K2-52 b,3.53515500,,16.600,,,,,,,2.07,,
3872,K2-52 b,3.53482000,0.048500,11.100,,,,,,6113.00,1.49,1.21,
3873,K2-52 b,3.53539750,,1.980,,,,,,3260.00,0.23,,
3874,K2-53 b,12.20773000,,2.340,,,,,,,0.71,,
3875,K2-53 b,12.20540000,0.097500,2.500,,,,,,5269.00,0.85,0.83,
3876,K2-53 b,12.20911650,,,,,,,,4555.00,0.82,0.72,-0.579
3877,K2-53 b,12.20772000,0.098000,2.600,,,,665,,5263.00,0.81,0.85,
3878,K2-53 b,12.20763200,,2.470,,,,,,4684.00,0.72,,
3879,K2-54 b,9.78430000,0.067100,1.150,,,,,,3798.00,0.38,0.42,
3880,K2-55 b,2.84927400,0.035000,4.380,,,0.070000,,,4299.98,0.72,0.69,
3881,K2-55 b,2.84930000,,,,,,,,4279.00,0.74,0.67,-0.784
3882,K2-55 b,2.84928180,,4.430,,,,,,4237.00,0.65,,
3883,K2-55 b,2.84947127,,,,,,,,4279.00,0.74,0.67,-0.784
3884,K2-55 b,2.84925800,0.034860,3.820,,,,,,4456.00,0.63,0.70,
3885,K2-55 b,2.84930200,,4.070,,,,,,,0.66,,
3886,K2-57 b,9.00715600,,2.530,,,,,,4388.00,0.68,,
3887,K2-57 b,9.00630000,0.074600,2.100,,,,,,4434.00,0.62,0.68,
3888,K2-57 b,9.00740000,,2.180,,,,,,,0.60,,
3889,K2-58 b,7.05247500,,2.594,,,,,,5134.00,0.80,0.86,
3890,K2-58 b,7.05252730,,2.620,,,,,,4998.00,0.76,,
3891,K2-58 b,7.05235000,,2.720,,,,,,,0.84,,
3892,K2-58 b,7.05254000,0.069200,2.680,,,,,,5413.00,0.86,0.89,
3893,K2-58 b,7.05240378,,,,,,,,5020.00,0.84,0.83,-0.398
3894,K2-58 c,2.53707100,,1.625,,,,,,5134.00,0.80,0.86,
3895,K2-58 c,2.53712000,,1.710,,,,,,,0.84,,
3896,K2-58 c,2.53726000,0.035000,1.620,,,,,,5413.00,0.86,0.89,
3897,K2-58 c,2.53704220,,1.640,,,,,,4998.00,0.76,,
3898,K2-58 d,22.88270000,0.151700,1.710,,,,,,5413.00,0.86,0.89,
3899,K2-58 d,22.88114500,,1.780,,,,,,4998.00,0.76,,
3900,K2-58 d,22.88159000,,1.752,,,,,,5134.00,0.80,0.86,
3901,K2-58 d,22.88200000,,1.840,,,,,,,0.84,,
3902,K2-59 b,20.69210000,0.135400,2.410,,,,,,5055.00,0.73,0.77,
3903,K2-59 b,20.69845300,,2.690,,,,,,4775.00,0.73,,
3904,K2-59 b,20.69150000,,2.100,,,,,,,0.64,,
3905,K2-59 c,11.29540000,0.090500,2.300,,,,,,5055.00,0.73,0.77,
3906,K2-59 c,11.29515800,,2.470,,,,,,4775.00,0.73,,
3907,K2-59 c,11.29665000,,2.080,,,,,,,0.64,,
3908,K2-6 b,30.94459300,,2.312,,,,,,5617.00,0.86,0.93,
3909,K2-6 b,30.94464800,,3.060,,,,,,5710.00,0.96,,
3910,K2-6 b,30.93490000,0.188200,2.500,,,,,,5767.00,1.01,0.93,
3911,K2-6 b,30.94030000,,2.440,,,,,,,0.86,,
3912,K2-6 b,30.94191000,0.189800,2.500,,,,615,,5850.00,0.96,0.97,
